wkt_geom;generator:source;generator:output
Point (8.98712300000000042 54.44710800000000006);wind;2
Point (10.94398230000000005 54.23687420000000259);wind;660
Point (9.42494600000000027 54.51941899999999919);wind;660
Point (10.94659769999999988 54.2322654999999969);wind;660
Point (10.9452935999999994 54.23456620000000328);wind;660
Point (11.00204519999999953 54.2844647000000009);wind;660
Point (10.94850940000000072 54.23010239999999982);wind;660
Point (11.00999599999999923 54.27465899999999976);wind;660
Point (11.0083997999999994 54.28186459999999869);wind;660
Point (9.41525399999999912 54.54171399999999892);wind;660
Point (10.94266230000000029 54.23913859999999687);wind;660
Point (10.95347109999999979 54.22441380000000066);wind;660
Point (11.00149459999999912 54.28162209999999988);wind;660
Point (10.9566119999999998 54.2201814000000013);wind;660
Point (10.97567169999999948 54.21079149999999913);wind;660
Point (10.96263889999999996 54.2099443999999977);wind;660
Point (10.97037429999999958 54.21276309999999654);wind;660
Point (10.95975010000000083 54.21177180000000106);wind;660
Point (10.97049499999999966 54.21453499999999792);wind;660
Point (9.10873800000000067 54.51770799999999895);wind;2
Point (10.95310330000000043 54.22842219999999713);wind;660
Point (9.41138100000000044 54.54237400000000235);wind;660
Point (9.40764599999999973 54.54449900000000184);wind;660
Point (9.41094099999999933 54.54472100000000268);wind;660
Point (9.42302300000000059 54.54117399999999805);wind;660
Point (9.42594500000000046 54.54270999999999958);wind;660
Point (9.422288 54.54332500000000294);wind;660
Point (8.94918419999999948 54.23347559999999845);wind;850
Point (9.42464419999999947 54.54473370000000187);wind;660
Point (8.96216800000000013 54.26612300000000033);wind;850
Point (8.94566050000000068 54.22865699999999833);wind;850
Point (10.63990189999999991 53.99884769999999889);wind;850
Point (10.6444390999999996 53.99887600000000276);wind;850
Point (9.15796300000000052 54.71152099999999763);wind;2
Point (9.15679500000000068 54.71463200000000171);wind;2
Point (9.15148699999999948 54.70656000000000319);wind;2
Point (9.15793700000000044 54.70880700000000019);wind;2
Point (8.50928940000000011 53.50653609999999816);wind;1.65
Point (9.14864400000000089 54.70988799999999941);wind;2
Point (9.42692599999999992 54.52856100000000339);wind;850
Point (9.67653299999999916 54.73241099999999904);wind;1.65
Point (9.00508420000000065 54.20287429999999773);wind;
Point (9.42768900000000087 54.53059799999999768);wind;850
Point (9.30480000000000018 53.7855559999999997);wind;1650
Point (9.29850700000000074 53.7863619999999969);wind;1650
Point (9.29961800000000061 53.79324499999999887);wind;1650
Point (9.30173100000000019 53.78945499999999669);wind;1650
Point (9.0890462000000003 54.78110199999999708);wind;1.65
Point (9.09349199999999946 54.78140700000000152);wind;1.65
Point (9.09657729999999987 54.77991870000000318);wind;1.65
Point (9.09386349999999943 54.77527489999999943);wind;1.65
Point (9.29512599999999978 53.78916600000000159);wind;1650
Point (9.29035599999999917 53.78400429999999943);wind;1650
Point (9.28470500000000065 53.78335799999999978);wind;1650
Point (9.28706200000000059 53.78624700000000303);wind;1650
Point (8.96791230000000006 54.16279180000000082);wind;660
Point (9.29390259999999913 53.78677650000000199);wind;1650
Point (9.09703599999999923 54.51442800000000233);wind;2
Point (9.16874199999999995 54.68703500000000162);wind;660
Point (8.54144059999999961 53.7515868999999995);wind;300
Point (8.5407554999999995 53.75260029999999745);wind;300
Point (8.54265479999999933 53.74933219999999778);wind;300
Point (8.54215660000000021 53.75057290000000165);wind;300
Point (8.51149380000000022 53.7197809000000035);wind;450
Point (8.51017009999999985 53.71779670000000095);wind;450
Point (8.51494459999999975 53.72439930000000174);wind;450
Point (8.51084610000000019 53.71873639999999739);wind;450
Point (8.51425249999999956 53.72343759999999691);wind;450
Point (8.51357649999999921 53.7225042999999971);wind;450
Point (8.51290509999999934 53.72158350000000127);wind;450
Point (8.51220320000000008 53.72065700000000277);wind;450
Point (8.50951039999999992 53.71683480000000088);wind;450
Point (8.51557749999999913 53.72533250000000038);wind;450
Point (8.53872070000000072 53.74869089999999971);wind;330
Point (8.53844699999999968 53.7496190000000027);wind;330
Point (8.53813620000000029 53.74766670000000346);wind;330
Point (8.54141800000000018 53.74709260000000199);wind;330
Point (8.54041929999999994 53.74513999999999925);wind;330
Point (8.53954139999999917 53.74686859999999911);wind;330
Point (8.53740529999999964 53.74569650000000109);wind;330
Point (8.53908829999999952 53.74589209999999895);wind;330
Point (8.54017529999999958 53.74419650000000104);wind;330
Point (8.53878459999999961 53.74494519999999653);wind;330
Point (10.0244572999999999 53.46155799999999658);wind;500
Point (8.5432150999999994 53.74810949999999821);wind;300
Point (8.8452307999999995 54.65136919999999776);wind;
Point (10.02559489999999975 53.45759520000000009);wind;500
Point (8.84959980000000002 54.64652209999999855);wind;
Point (8.84737229999999997 54.64889699999999806);wind;
Point (10.26441580000000009 53.45395160000000345);wind;
Point (10.26506810000000058 53.45598059999999663);wind;
Point (10.26069080000000078 53.46032449999999869);wind;600
Point (10.25981529999999964 53.4581167999999991);wind;600
Point (8.86163460000000036 54.64035450000000083);wind;2
Point (8.85324600000000039 54.64427539999999794);wind;2
Point (8.87077709999999975 54.63599769999999722);wind;
Point (8.86593399999999932 54.63830740000000219);wind;2
Point (8.87961040000000068 54.64029399999999725);wind;
Point (8.88279469999999982 54.63824879999999951);wind;
Point (10.2393181000000002 54.39429789999999798);wind;
Point (10.73607160000000071 54.00291930000000207);biomass;yes
Point (8.8784244999999995 54.63236700000000212);wind;2
Point (8.87493070000000017 54.63406439999999975);wind;2
Point (8.88562989999999964 54.6289092000000025);wind;2
Point (8.8820490999999997 54.63062370000000101);wind;2
Point (10.3974884000000003 54.82994399999999757);wind;yes
Point (8.88916269999999997 54.62716809999999867);wind;2
Point (8.92339780000000005 54.61233870000000223);wind;2
Point (8.92346320000000048 54.60991820000000274);wind;2
Point (8.96127790000000068 54.57717219999999969);wind;2
Point (8.96049430000000058 54.57978270000000265);wind;2
Point (8.96978640000000027 54.58731749999999749);wind;
Point (8.9619610999999999 54.57466860000000253);wind;2
Point (8.96381079999999919 54.58327260000000081);wind;
Point (8.96297509999999953 54.58608060000000251);wind;
Point (10.43545860000000047 53.71516489999999777);wind;1300
Point (10.4361341000000003 53.71287860000000336);wind;1300
Point (10.44777410000000017 53.71602899999999892);wind;1000
Point (10.43088870000000057 53.71603850000000335);wind;1300
Point (10.45105530000000016 53.71711479999999739);wind;1000
Point (10.44783840000000019 53.71798079999999942);wind;1000
Point (10.39674639999999961 53.74465020000000237);wind;1800
Point (10.44885239999999982 53.72016080000000215);wind;1000
Point (10.39919770000000021 53.74163389999999652);wind;1800
Point (10.39768729999999941 53.74305809999999894);wind;1800
Point (10.40500839999999982 53.74317829999999674);wind;1800
Point (10.39474689999999946 53.74052110000000226);wind;1800
Point (9.87350679999999947 54.73621159999999719);wind;
Point (10.40290129999999991 53.74446530000000166);wind;1800
Point (9.62947280000000028 53.68977280000000007);wind;
Point (9.03446590000000072 54.47086500000000342);wind;
Point (9.022316 54.17979849999999686);wind;660
Point (9.81609890000000007 54.50373729999999739);wind;
Point (9.01808819999999933 54.18241359999999673);wind;
Point (9.00920640000000006 54.18087839999999744);wind;
Point (9.01584830000000004 54.17228649999999845);wind;660
Point (9.00902639999999977 54.17782009999999815);wind;
Point (9.02206600000000059 54.16177369999999769);wind;
Point (9.01973429999999965 54.17349389999999687);wind;660
Point (9.70516169999999967 54.64137569999999755);wind;
Point (9.70950490000000066 54.64315609999999879);wind;
Point (9.91327019999999948 54.42110000000000269);wind;
Point (9.7034009999999995 54.64393630000000002);wind;
Point (8.32943919999999949 53.47752380000000016);wind;500
Point (10.24133909999999936 54.40475560000000144);wind;500
Point (8.93707400000000085 53.98738600000000076);wind;500
Point (8.94989319999999999 53.99424700000000144);wind;
Point (8.93806000000000012 54.0046362000000002);wind;
Point (8.93517160000000032 54.00595710000000338);wind;
Point (8.71550290000000061 54.3435247999999973);wind;500
Point (8.71532829999999947 54.33809430000000162);wind;500
Point (9.02800399999999925 54.03782100000000099);wind;500
Point (8.71498579999999912 54.33999670000000037);wind;500
Point (9.02487039999999929 54.17106969999999677);wind;600
Point (9.52456940000000074 54.56230120000000028);wind;75
Point (8.44111539999999927 53.52241010000000188);wind;200
Point (10.16625639999999997 54.40474389999999971);wind;75
Point (8.93479409999999952 54.00361639999999852);wind;
Point (10.90285030000000077 54.31478039999999652);wind;225
Point (9.16222100000000061 54.44410599999999789);wind;200
Point (9.01160020000000017 54.16171489999999977);wind;225
Point (8.77001899999999956 54.34277099999999905);wind;200
Point (8.95123000000000069 54.40136199999999889);wind;200
Point (8.65845599999999926 54.54228599999999716);wind;200
Point (8.65858169999999916 54.54343800000000186);wind;200
Point (9.8412860000000002 54.66696799999999712);wind;200
Point (8.75016199999999955 54.35275299999999987);wind;200
Point (8.71463100000000068 54.34187680000000142);wind;500
Point (8.93485000000000085 54.4242449999999991);wind;200
Point (8.95390219999999992 53.91783300000000168);wind;2300
Point (8.7051564999999993 54.34150009999999753);wind;500
Point (8.70436980000000027 54.34309509999999932);wind;500
Point (8.93295799999999929 53.99622699999999753);wind;600
Point (8.70808429999999944 54.33719980000000049);wind;500
Point (8.70910879999999921 54.33567370000000096);wind;500
Point (10.63780000000000037 54.0670119999999983);wind;600
Point (8.73929560000000016 54.7198763000000028);wind;225
Point (10.65040499999999923 54.05693399999999826);wind;600
Point (10.64689000000000085 54.05612800000000107);wind;600
Point (8.88916659999999936 54.23092230000000313);wind;225
Point (10.90435760000000087 54.31748569999999887);wind;600
Point (8.91605020000000081 54.01489279999999837);wind;
Point (8.89055439999999919 54.22686430000000257);wind;225
Point (8.91480899999999998 54.01178730000000172);wind;
Point (8.92279210000000056 54.01208489999999784);wind;
Point (10.80188459999999928 53.94642029999999977);wind;600
Point (10.79775380000000062 53.94539420000000263);wind;600
Point (8.9210768999999992 54.58515359999999816);gas;
Point (8.90185089999999946 54.60046090000000163);biogas;
Point (10.64206380000000074 53.58437700000000348);wind;1300
Point (10.65558279999999947 53.58481410000000267);wind;1300
Point (10.65171969999999924 53.5852483000000035);wind;1300
Point (10.64568279999999945 53.58391639999999967);wind;1300
Point (10.64431779999999961 53.58655449999999831);wind;1300
Point (10.64875810000000023 53.58650070000000198);wind;1300
Point (8.7972854999999992 53.7860636999999997);wind;500
Point (8.79606829999999995 53.78462509999999952);wind;500
Point (8.8173370000000002 53.77576359999999767);wind;600
Point (8.79482619999999926 53.7830781999999985);wind;500
Point (8.82743810000000018 53.77259910000000076);wind;600
Point (8.82267090000000032 53.77514310000000108);wind;600
Point (8.83060299999999998 53.77662120000000101);wind;600
Point (8.82847089999999923 53.77384649999999766);wind;600
Point (8.83288720000000005 53.77936679999999825);wind;600
Point (8.82962449999999954 53.77521240000000091);wind;600
Point (8.80050589999999922 53.78152099999999791);wind;500
Point (8.83176530000000071 53.77799689999999799);wind;600
Point (8.80555290000000035 53.78166610000000247);wind;500
Point (8.8016451 53.78289039999999943);wind;500
Point (8.83462439999999916 53.77465899999999976);wind;500
Point (8.80455420000000011 53.78041280000000057);wind;500
Point (8.8322257000000004 53.77174180000000092);wind;500
